"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"108","2016-01-27","W63522","BVA","TSR","2016-01-27T13:40:00.000","2016-01-27T17:05:00.000","32S"
"109","2016-01-27","W63548","CIA","TSR","2016-01-27T08:25:00.000","2016-01-27T11:05:00.000","32S"
"110","2016-01-27","W63560","BLQ","TSR","2016-01-27T13:20:00.000","2016-01-27T15:55:00.000","32S"
"111","2016-01-27","W63562","MAD","TSR","2016-01-27T19:55:00.000","2016-01-28T00:15:00.000","32S"
"112","2016-01-27","W63652","LTN","IAS","2016-01-27T13:20:00.000","2016-01-27T18:30:00.000","32S"
"113","2016-01-27","W63702","LTN","TGM","2016-01-27T18:40:00.000","2016-01-27T23:35:00.000","32S"
"114","2016-01-27","W63726","CIA","TGM","2016-01-27T13:20:00.000","2016-01-27T16:15:00.000","32S"
"115","2016-01-27","W63762","BLQ","CRA","2016-01-27T13:20:00.000","2016-01-27T16:10:00.000","32S"
"116","2016-01-27","W63790","BLQ","KIV","2016-01-27T07:35:00.000","2016-01-27T10:55:00.000","32S"
"117","2016-01-27","W64106","FMM","BEG","2016-01-27T15:45:00.000","2016-01-27T17:20:00.000","32S"
"118","2016-01-27","W64210","MMX","BEG","2016-01-27T20:35:00.000","2016-01-27T22:40:00.000","32S"
"119","2016-01-27","W64298","DTM","TZL","2016-01-27T08:35:00.000","2016-01-27T10:40:00.000","32S"
"120","2016-01-27","W64302","LTN","SOF","2016-01-27T21:05:00.000","2016-01-28T02:15:00.000","32S"
"121","2016-01-27","W64304","LTN","SOF","2016-01-27T14:40:00.000","2016-01-27T19:50:00.000","32S"
"122","2016-01-27","W64322","BVA","SOF","2016-01-27T14:15:00.000","2016-01-27T17:55:00.000","32S"
"123","2016-01-27","W64326","EIN","SOF","2016-01-27T15:15:00.000","2016-01-27T18:55:00.000","32S"
"124","2016-01-27","W64336","CGN","SOF","2016-01-27T19:15:00.000","2016-01-27T22:45:00.000","32S"
"125","2016-01-27","W64340","FMM","SOF","2016-01-27T13:20:00.000","2016-01-27T16:20:00.000","32S"
"126","2016-01-27","W64364","BLQ","SOF","2016-01-27T20:50:00.000","2016-01-27T23:35:00.000","32S"
"127","2016-01-27","W64370","NAP","SOF","2016-01-27T21:40:00.000","2016-01-28T00:15:00.000","32S"
"128","2016-01-27","W64406","BCN","SOF","2016-01-27T21:15:00.000","2016-01-28T00:55:00.000","32S"
"129","2016-01-27","W64438","LCA","SOF","2016-01-27T08:45:00.000","2016-01-27T11:05:00.000","32S"
"130","2016-01-27","W64502","LTN","VAR","2016-01-27T08:10:00.000","2016-01-27T13:35:00.000","32S"
"131","2016-01-27","W67308","CGN","IEV","2016-01-27T12:55:00.000","2016-01-27T16:35:00.000","32S"
"132","2016-01-27","W67674","LTN","KSC","2016-01-27T15:00:00.000","2016-01-27T18:35:00.000","32S"
"133","2016-01-27","W67678","DSA","KSC","2016-01-27T21:20:00.000","2016-01-28T00:55:00.000","32S"
"134","2016-01-27","W67692","LTN","TAT","2016-01-27T08:35:00.000","2016-01-27T12:05:00.000","32S"
"135","2016-01-27","W67710","GOT","SKP","2016-01-27T09:45:00.000","2016-01-27T12:45:00.000","32S"
"136","2016-01-27","W67712","MMX","SKP","2016-01-27T21:55:00.000","2016-01-28T00:30:00.000","32S"
"137","2016-01-27","W67716","EIN","SKP","2016-01-27T10:00:00.000","2016-01-27T12:45:00.000","32S"
"138","2016-01-27","W67732","MLH","SKP","2016-01-27T21:55:00.000","2016-01-28T00:10:00.000","32S"
"139","2016-01-27","W67734","LBC","SKP","2016-01-27T09:05:00.000","2016-01-27T11:40:00.000","32S"
"140","2016-01-27","W67736","NUE","SKP","2016-01-27T16:00:00.000","2016-01-27T18:10:00.000","32S"
"141","2016-01-27","W67752","TSF","SKP","2016-01-27T14:30:00.000","2016-01-27T16:15:00.000","32S"
"142","2016-01-27","W67772","MLH","OHD","2016-01-27T16:30:00.000","2016-01-27T18:40:00.000","32S"
"143","2016-01-27","W67854","LTN","DEB","2016-01-27T19:45:00.000","2016-01-27T23:30:00.000","32S"
"144","2016-01-27","W67868","BVA","DEB","2016-01-27T09:45:00.000","2016-01-27T12:10:00.000","32S"
"145","2016-01-27","W67874","BGY","DEB","2016-01-27T14:55:00.000","2016-01-27T16:40:00.000","32S"
"146","2016-01-27","W68002","LTN","VNO","2016-01-27T07:25:00.000","2016-01-27T12:05:00.000","32S"
"147","2016-01-27","W68006","LTN","VNO","2016-01-27T19:55:00.000","2016-01-28T00:35:00.000","32S"
"148","2016-01-27","W68026","EIN","VNO","2016-01-27T14:35:00.000","2016-01-27T17:45:00.000","32S"
"149","2016-01-27","W68048","IEV","VNO","2016-01-27T20:30:00.000","2016-01-27T21:55:00.000","32S"
"150","2016-01-27","W68052","BGY","VNO","2016-01-27T20:20:00.000","2016-01-27T23:45:00.000","32S"
"151","2016-01-27","W68076","MMX","VNO","2016-01-27T15:20:00.000","2016-01-27T17:45:00.000","32S"
"152","2016-01-27","W68084","SVG","VNO","2016-01-27T07:50:00.000","2016-01-27T10:55:00.000","32S"
"153","2016-01-27","W68088","AES","VNO","2016-01-27T13:15:00.000","2016-01-27T16:30:00.000","32S"
"154","2016-01-27","W68094","TLV","VNO","2016-01-27T21:55:00.000","2016-01-28T01:55:00.000","32S"
"155","2016-01-28","W61002","LTN","KTW","2016-01-28T08:15:00.000","2016-01-28T11:30:00.000","32S"
"156","2016-01-28","W61006","LTN","KTW","2016-01-28T20:20:00.000","2016-01-28T23:35:00.000","32S"
"157","2016-01-28","W61016","DSA","KTW","2016-01-28T21:20:00.000","2016-01-29T00:35:00.000","32S"
"158","2016-01-28","W61072","EIN","KTW","2016-01-28T15:15:00.000","2016-01-28T17:00:00.000","32S"
