"","flight.nums.i.","flight.origin","flight.dest","airline"
"781","FR2986","VLC","BRU","FR"
"782","FR2989","CPH","BGY","FR"
"783","FR2990","BGY","CPH","FR"
"784","FR2991","CPH","BGY","FR"
"785","FR2992","BGY","CPH","FR"
"786","FR2998","DUB","AMS","FR"
"787","FR2999","AMS","DUB","FR"
"788","FR3002","STN","CIA","FR"
"789","FR3003","CIA","STN","FR"
"790","FR3004","STN","CIA","FR"
"791","FR3005","CIA","STN","FR"
"792","FR3014","STN","CIA","FR"
"793","FR3015","CIA","STN","FR"
"794","FR3016","CGN","MAD","FR"
"795","FR3017","MAD","CGN","FR"
"796","FR3018","CGN","CIA","FR"
"797","FR3019","CIA","CGN","FR"
"798","FR3024","CGN","RIX","FR"
"799","FR3025","RIX","CGN","FR"
"800","FR3028","BRE","MAD","FR"
"801","FR3029","MAD","BRE","FR"
"802","FR3031","CIA","CRV","FR"
"803","FR3032","CRV","CIA","FR"
"804","FR3041","SVQ","SCQ","FR"
"805","FR3042","SCQ","SVQ","FR"
"806","FR3060","TFS","WRO","FR"
"807","FR3061","WRO","TFS","FR"
"808","FR3063","BCN","TFN","FR"
"809","FR3064","TFN","BCN","FR"
"810","FR3066","MAD","EIN","FR"
"811","FR3067","EIN","MAD","FR"
"812","FR3071","STN","CIY","FR"
"813","FR3072","STN","CIA","FR"
"814","FR3073","CIA","STN","FR"
"815","FR3074","CIY","STN","FR"
"816","FR3081","EIN","TRN","FR"
"817","FR3082","TRN","EIN","FR"
"818","FR3091","EIN","LIS","FR"
"819","FR3092","LIS","EIN","FR"
"820","FR3093","SKG","BVA","FR"
"821","FR3094","BVA","SKG","FR"
"822","FR3096","GDN","WMI","FR"
"823","FR3097","WMI","GDN","FR"
"824","FR3098","GDN","WMI","FR"
"825","FR3099","WMI","GDN","FR"
"826","FR3100","DUB","AMS","FR"
"827","FR3101","AMS","DUB","FR"
"828","FR3102","DUB","AMS","FR"
"829","FR3103","AMS","DUB","FR"
"830","FR3104","DUB","AMS","FR"
"831","FR3105","AMS","DUB","FR"
"832","FR3116","BVA","BZR","FR"
"833","FR3117","BZR","BVA","FR"
"834","FR3121","RYG","RZE","FR"
"835","FR3122","RZE","RYG","FR"
"836","FR3131","STN","PFO","FR"
"837","FR3132","PFO","STN","FR"
"838","FR3152","EMA","TFS","FR"
"839","FR3153","TFS","EMA","FR"
"840","FR3162","EMA","LPA","FR"
