"","flight.date","fl.num","origin","dest","dep.time","arr.time","equipment","weekday","dep.airport","dep.city","dep.country","dep.lat","dep.long","arr.airport","arr.city","arr.country","arr.lat","arr.long"
"80","2016-01-27","W62826","EIN","BRQ",2016-01-27 09:35:00,2016-01-27 11:15:00,"32S","Wed","Eindhoven","Eindhoven","Netherlands",51.450139,5.374528,"Turany","Brno","Czech Republic",49.151269,16.694433
"81","2016-01-27","W63002","LTN","OTP",2016-01-27 08:40:00,2016-01-27 13:55:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"82","2016-01-27","W63004","LTN","OTP",2016-01-27 14:50:00,2016-01-27 20:00:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"83","2016-01-27","W63010","LTN","OTP",2016-01-27 21:40:00,2016-01-28 02:55:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"84","2016-01-27","W63082","CRL","OTP",2016-01-27 15:10:00,2016-01-27 18:55:00,"32S","Wed","Brussels South","Charleroi","Belgium",50.459197,4.453817,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"85","2016-01-27","W63092","DTM","OTP",2016-01-27 08:25:00,2016-01-27 12:00:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"86","2016-01-27","W63102","NUE","OTP",2016-01-27 20:55:00,2016-01-27 23:55:00,"32S","Wed","Nurnberg","Nuernberg","Germany",49.4987,11.066897,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"87","2016-01-27","W63132","BGY","OTP",2016-01-27 08:30:00,2016-01-27 11:45:00,"32S","Wed","Bergamo Orio Al Serio","Bergamo","Italy",45.673889,9.704166,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"88","2016-01-27","W63138","MXP","OTP",2016-01-27 13:50:00,2016-01-27 17:10:00,"32S","Wed","Malpensa","Milano","Italy",45.630606,8.728111,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"89","2016-01-27","W63142","CIA","OTP",2016-01-27 08:10:00,2016-01-27 11:15:00,"32S","Wed","Ciampino","Rome","Italy",41.799361,12.594936,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"90","2016-01-27","W63146","CIA","OTP",2016-01-27 20:50:00,2016-01-27 23:55:00,"32S","Wed","Ciampino","Rome","Italy",41.799361,12.594936,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"91","2016-01-27","W63152","CTA","OTP",2016-01-27 13:40:00,2016-01-27 16:50:00,"32S","Wed","Catania Fontanarossa","Catania","Italy",37.466781,15.0664,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"92","2016-01-27","W63160","TSF","OTP",2016-01-27 08:20:00,2016-01-27 11:20:00,"32S","Wed","Treviso","Treviso","Italy",45.6484,12.194422,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
